Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,Edit privilege,_order:1000
c3bcd296-eb82-4451-a4b4-eedd1d5f322f,,phoneNumber,Phone Number,java.lang.String,,TRUE,,
23bc8d94-344b-4143-b3f5-999e7cc89786,,email,Email,java.lang.String,,TRUE,,
82325788-3f10-11e4-adec-0800271c1b75,,givenNameLocal,Arabic Given Name,java.lang.String,,TRUE,,
8233a58a-3f10-11e4-adec-0800271c1b75,,familyNameLocal,Arabic Family Name,java.lang.String,,TRUE,,
35e98d04-3981-4257-a593-fadd81bfc109,TRUE,cluster,,,,,,
3dfdc176-17fd-42b1-b5be-c7e25b78b602,TRUE,landHolding,,,,,,
6f32179b-c6b9-465e-a278-c15da2637630,TRUE,RationCard,,,,,,
9234695b-0f68-4970-aeb7-3b32d4a2b346,TRUE,isUrban,,,,,,
a10fe690-1c44-4ba8-a244-8fe51f9e61f7,TRUE,familyIncome,,,,,,
c1f4239f-3f10-11e4-adec-0800271c1b75,TRUE,caste,,,,,,
c1f455e7-3f10-11e4-adec-0800271c1b75,TRUE,class,,,,,,
c1f4a004-3f10-11e4-adec-0800271c1b75,,education,Education,,,,,
c1f7d1f1-3f10-11e4-adec-0800271c1b75,,occupation,Occupation,,,,,
c1f7fd17-3f10-11e4-adec-0800271c1b75,TRUE,primaryContact,,,,,,
c1f825c9-3f10-11e4-adec-0800271c1b75,TRUE,secondaryContact,,,,,,
c1f84df3-3f10-11e4-adec-0800271c1b75,TRUE,primaryRelative,,,,,,
c1f8880d-3f10-11e4-adec-0800271c1b75,TRUE,secondaryIdentifier,,,,,,
d1314f0f-c2d9-4223-88d9-ec4d2827c9da,TRUE,distanceFromCenter,,,,,,
fb3c00b1-81c8-40fe-89e8-6b3344688a13,TRUE,debt,,,,,,
,,secondaryPhoneNumber,Secondary Phone Number,java.lang.String,,TRUE,,
,,secondaryEmail,Secondary Email,java.lang.String,,TRUE,,